id,name,start_date_time,end_date_time,agency,type,borough,location,street_side,police_precinct,lat,lng,url
753735,Permitted Film Event,2023-12-31 01:00:00,2024-01-26 17:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,The Broadway Theatre: 1681 Broadway,N/A,"18,",40.76324839999999,-73.98313870000001,"https://maps.google.com/maps?q=40.76324839999999,-73.98313870000001"
754070,Permitted Film Event,2024-01-02 05:00:00,2024-02-02 22:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,Gerald Schoenfeld Theatre: 236 West 45th Street,N/A,"14,",40.7586139,-73.9873111,"https://maps.google.com/maps?q=40.7586139,-73.9873111"
754265,Permitted Film Event,2024-01-02 05:00:00,2024-02-02 18:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,225 WEST   44 STREET between 8 AVENUE and 7 AVENUE,N/A,"14,",40.7580063,-73.98720279999999,"https://maps.google.com/maps?q=40.7580063,-73.98720279999999"
753185,Permitted Film Event,2024-01-02 06:00:00,2024-02-03 23:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,Studio 54: 254 West 54th Street,N/A,"18,",40.7644056,-73.9837194,"https://maps.google.com/maps?q=40.7644056,-73.9837194"
754262,Permitted Film Event,2024-01-02 06:00:00,2024-02-01 20:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,Laura Pels Theatre: 111 West 46th Street,N/A,"18,",40.7579008,-73.9829934,"https://maps.google.com/maps?q=40.7579008,-73.9829934"
756795,Permitted Film Event,2024-01-07 07:00:00,2024-01-31 23:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,Hudson Theatre: 139-141 West 44th Street,N/A,"14,",40.7569746,-73.9845576,"https://maps.google.com/maps?q=40.7569746,-73.9845576"
751688,Permitted Film Event,2024-01-15 06:00:00,2024-02-15 23:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,American Airlines Theatre: 227 West 42nd Street,N/A,"14,",40.7567868,-73.98819519999999,"https://maps.google.com/maps?q=40.7567868,-73.98819519999999"
754601,Permitted Film Event,2024-01-16 00:01:00,2024-01-29 06:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,"155 WEST   62 STREET, WEST   62 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,  AMSTERDAM AVENUE between WEST   60 STREET and WEST   62 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET",N/A,"20,",40.7723265,-73.9852921,"https://maps.google.com/maps?q=40.7723265,-73.9852921"
757337,Permitted Film Event,2024-01-16 00:01:00,2024-01-30 23:59:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,"30 LINCOLN CENTER PLAZA, AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET",N/A,"20,",40.7727536,-73.9838608,"https://maps.google.com/maps?q=40.7727536,-73.9838608"
757336,Permitted Film Event,2024-01-22 00:01:00,2024-01-27 23:59:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,"30 LINCOLN CENTER PLAZA, AMSTERDAM AVENUE between WEST   62 STREET and WEST   66 STREET",N/A,"20,",40.7727536,-73.9838608,"https://maps.google.com/maps?q=40.7727536,-73.9838608"
758713,Permitted Film Event,2024-01-23 01:00:00,2024-04-13 19:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,220 WEST   48 STREET between 7 AVENUE and 8 AVENUE,N/A,"18,",40.7603454,-73.9859876,"https://maps.google.com/maps?q=40.7603454,-73.9859876"
756524,Permitted Film Event,2024-02-05 06:00:00,2024-03-12 22:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,"149 WEST   45 STREET between 7 AVENUE and 6 AVENUE,  WEST   45 STREET between 7 AVENUE and 6 AVENUE",N/A,"14, 18,",40.7577479,-73.98452189999999,"https://maps.google.com/maps?q=40.7577479,-73.98452189999999"
757811,Permitted Film Event,2024-02-05 06:00:00,2024-02-24 23:59:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,138 WEST   48 STREET between 7 AVENUE and 6 AVENUE,N/A,"18,",40.7591597,-73.983055,"https://maps.google.com/maps?q=40.7591597,-73.983055"
751994,Permitted Film Event,2024-02-16 06:00:00,2024-03-16 23:00:00,"Mayor's Office of Film, Theatre & Broadcasting",Theater Load in and Load Outs,Manhattan,American Airlines Theatre: 227 West 42nd Street,N/A,"14,",40.7567868,-73.98819519999999,"https://maps.google.com/maps?q=40.7567868,-73.98819519999999"
